Team,GM,3FG,3FGA,3FG%,FGM,FGA,FG%,BLKS,BKPG,ST,STPG,PTS,PPG,OPP PTS,OPP PPG,SCR MAR,W,L,WL%,REB,RPG,OPP REB,OPP RPG,REB MAR
Longwood (Big South),29,207,600,34.5,685,1579,43.4,52,1.8,177,6.1,1920,66.2,1966,67.8,-1.6,12,17,41.4,954,32.9,967,33.3,-0.4
Louisiana Tech (C-USA),26,185,532,34.8,713,1607,44.4,122,4.7,145,5.6,1934,74.4,1892,72.8,1.6,17,9,65.4,1027,39.5,894,34.4,5.1
Louisiana (Sun Belt),32,240,698,34.4,832,1870,44.5,93,2.9,217,6.8,2339,73.1,2094,65.4,7.7,24,8,75,1224,38.2,1123,35.1,3.2
Louisville (ACC),20,107,347,30.8,494,1146,43.1,37,1.9,96,4.8,1359,68,1330,66.5,1.4,13,7,65,764,38.2,669,33.5,4.8
Loyola Chicago (MVC),31,221,606,36.5,804,1614,49.8,75,2.4,215,6.9,2202,71,1738,56.1,15,26,5,83.9,1008,32.5,853,27.5,5
Loyola Maryland (Patriot),17,92,301,30.6,461,992,46.5,54,3.2,116,6.8,1226,72.1,1206,70.9,1.2,6,11,35.3,639,37.6,573,33.7,3.9
LSU (SEC),29,234,674,34.7,836,1823,45.9,85,2.9,225,7.8,2371,81.8,2181,75.2,6.6,19,10,65.5,1113,38.4,1095,37.8,0.6
Maine (America East),9,64,203,31.5,172,452,38.1,40,4.4,51,5.7,478,53.1,581,64.6,-11.4,2,7,22.2,283,31.4,320,35.6,-4.1
Manhattan (MAAC),20,115,435,26.4,439,1165,37.7,74,3.7,154,7.7,1268,63.4,1345,67.2,-3.9,7,13,35,727,36.4,740,37,-0.7
Marist (MAAC),21,142,458,31,475,1113,42.7,84,4,114,5.4,1332,63.4,1336,63.6,-0.2,12,9,57.1,736,35,727,34.6,0.4
Marquette (Big East),27,179,555,32.3,661,1484,44.5,100,3.7,137,5.1,1883,69.7,1885,69.8,-0.1,13,14,48.1,979,36.3,913,33.8,2.4
Marshall (C-USA),22,204,567,36,656,1382,47.5,114,5.2,172,7.8,1758,79.9,1596,72.5,7.4,15,7,68.2,778,35.4,819,37.2,-1.9
Maryland (Big Ten),31,253,708,35.7,753,1636,46,103,3.3,155,5,2135,68.9,2034,65.6,3.3,17,14,54.8,1013,32.7,1050,33.9,-1.2
Massachusetts (Atlantic 10),15,132,405,32.6,394,920,42.8,61,4.1,110,7.3,1151,76.7,1095,73,3.7,8,7,53.3,517,34.5,555,37,-2.5
McNeese (Southland),24,204,526,38.8,718,1456,49.3,49,2,172,7.2,1927,80.3,1722,71.8,8.5,10,14,41.7,896,37.3,777,32.4,5
Memphis (AAC),28,218,600,36.3,737,1661,44.4,136,4.9,248,8.9,2027,72.4,1756,62.7,9.7,20,8,71.4,1121,40,916,32.7,7.3
Mercer (SoCon),29,250,673,37.1,832,1738,47.9,86,3,200,6.9,2225,76.7,2082,71.8,4.9,18,11,62.1,1053,36.3,972,33.5,2.8
Miami (FL) (ACC),27,150,508,29.5,647,1524,42.5,104,3.9,179,6.6,1794,66.4,1916,71,-4.5,10,17,37,944,35,936,34.7,0.3
Miami (OH) (MAC),23,197,540,36.5,598,1369,43.7,59,2.6,102,4.4,1663,72.3,1647,71.6,0.7,12,11,52.2,798,34.7,809,35.2,-0.5
Michigan St. (Big Ten),28,206,541,38.1,771,1598,48.2,117,4.2,120,4.3,2121,75.8,1822,65.1,10.7,23,5,82.1,1049,37.5,868,31,6.5
Michigan (Big Ten),28,178,555,32.1,697,1635,42.6,132,4.7,125,4.5,1944,69.4,1991,71.1,-1.7,15,13,53.6,1048,37.4,959,34.2,3.2
Middle Tenn. (C-USA),23,171,528,32.4,511,1323,38.6,52,2.3,164,7.1,1426,62,1627,70.7,-8.7,5,18,21.7,775,33.7,828,36,-2.3
Milwaukee (Horizon),22,159,484,32.9,588,1348,43.6,47,2.1,134,6.1,1662,75.5,1678,76.3,-0.7,10,12,45.5,770,35,830,37.7,-2.7
